"","id","jail","state","county","fips","statecode","treated","year","mortality_rate"
"288",24,"Yuma County Detention Center","Arizona","Yuma",4027,"AZ",1,2019,2.3133154436939
"289",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2008,0
"290",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2009,0
"291",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2010,0
"292",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2011,0
"293",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2012,2.22222222222222
"294",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",0,2013,0
"295",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2014,1.65289256198347
"296",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2015,0
"297",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2016,0
"298",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2017,0
"299",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2018,0
"300",25,"Benton County Detention Facility","Arkansas","Benton",5007,"AR",1,2019,0
"301",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",0,2008,0
"302",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",0,2009,0
"303",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",1,2010,0
"304",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",1,2011,0
"305",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",1,2012,0
"306",26,"Craighead County Detention Center","Arkansas","Craighead",5031,"AR",1,2013,0
